Rate,YearMonth
0.75,2015-03
0.75,2015-04
0.75,2015-05
0.75,2015-06
0.61,2015-07
0.5,2015-08
0.5,2015-09
0.5,2015-10
0.5,2015-11
0.5,2015-12
0.5,2016-01
0.5,2016-02
0.5,2016-03
0.5,2016-04
0.5,2016-05
0.5,2016-06
0.5,2016-07
0.5,2016-08
0.5,2016-09
0.5,2016-10
0.5,2016-11
0.5,2016-12
0.5,2017-01
0.5,2017-02
0.5,2017-03
0.5,2017-04
0.5,2017-05
0.5,2017-06
0.67,2017-07
0.75,2017-08
0.96,2017-09
1.0,2017-10
1.0,2017-11
1.0,2017-12
1.12,2018-01
1.25,2018-02
1.25,2018-03
1.25,2018-04
1.25,2018-05
1.25,2018-06
1.42,2018-07
1.5,2018-08
1.5,2018-09
1.57,2018-10
1.75,2018-11
1.75,2018-12
1.75,2019-01
1.75,2019-02
1.75,2019-03
1.75,2019-04
1.75,2019-05
1.75,2019-06
1.75,2019-07
1.75,2019-08
1.75,2019-09
1.75,2019-10
1.75,2019-11
1.75,2019-12
1.75,2020-01
1.75,2020-02
0.95,2020-03
0.25,2020-04
0.25,2020-05
0.25,2020-06
0.25,2020-07
0.25,2020-08
0.25,2020-09
0.25,2020-10
0.25,2020-11
0.25,2020-12
0.25,2021-01
0.25,2021-02
0.25,2021-03
0.25,2021-04
0.25,2021-05
0.25,2021-06
0.25,2021-07
0.25,2021-08
0.25,2021-09
0.25,2021-10
0.25,2021-11
0.25,2021-12
0.25,2022-01
0.25,2022-02
0.48,2022-03
0.79,2022-04
1.0,2022-05
1.48,2022-06
2.07,2022-07
2.5,2022-08
3.07,2022-09
3.32,2022-10
3.75,2022-11
4.13,2022-12
4.3,2023-01
4.5,2023-02
4.5,2023-03
4.5,2023-04
4.5,2023-05
4.69,2023-06
4.9,2023-07
5.0,2023-08
5.0,2023-09
5.0,2023-10
5.0,2023-11
5.0,2023-12
5.0,2024-01
5.0,2024-02
5.0,2024-03
5.0,2024-04
5.0,2024-05
4.79,2024-06
4.7,2024-07
4.5,2024-08
4.29,2024-09
4.12,2024-10
3.75,2024-11
3.43,2024-12
3.23,2025-01
3.0,2025-02
3.0,2025-03
