Date,Area,Benchmark,Price Index,1 Month +/-,6 Month +/-,1 Year +/-,3 Year +/-,5 Year +/-
2005-01,Vancouver East,Residential - All Types,,,,,,
2005-01,Vancouver East,"$320,500",100.0,0.0,0.0,0.0,0.0,0.0
2005-01,Vancouver East,Detached,,,,,,
2005-01,Vancouver East,"$448,300",100.0,0.0,0.0,0.0,0.0,0.0
2005-01,Vancouver East,Townhouse,,,,,,
2005-01,Vancouver East,"$303,300",100.0,0.0,0.0,0.0,0.0,0.0
2005-01,Vancouver East,Apartment,,,,,,
2005-01,Vancouver East,"$172,300",100.0,0.0,0.0,0.0,0.0,0.0
2005-02,Vancouver East,Residential - All Types,,,,,,
2005-02,Vancouver East,"$323,900",101.1,1.1,0.0,0.0,0.0,0.0
2005-02,Vancouver East,Detached,,,,,,
2005-02,Vancouver East,"$452,700",101.0,1.0,0.0,0.0,0.0,0.0
2005-02,Vancouver East,Townhouse,,,,,,
2005-02,Vancouver East,"$306,700",101.1,1.1,0.0,0.0,0.0,0.0
2005-02,Vancouver East,Apartment,,,,,,
2005-02,Vancouver East,"$174,600",101.3,1.3,0.0,0.0,0.0,0.0
2005-03,Vancouver East,Residential - All Types,,,,,,
2005-03,Vancouver East,"$327,300",102.1,1.0,0.0,0.0,0.0,0.0
2005-03,Vancouver East,Detached,,,,,,
2005-03,Vancouver East,"$457,000",101.9,0.9,0.0,0.0,0.0,0.0
2005-03,Vancouver East,Townhouse,,,,,,
2005-03,Vancouver East,"$310,200",102.3,1.2,0.0,0.0,0.0,0.0
2005-03,Vancouver East,Apartment,,,,,,
2005-03,Vancouver East,"$176,900",102.7,1.4,0.0,0.0,0.0,0.0
2005-04,Vancouver East,Residential - All Types,,,,,,
2005-04,Vancouver East,"$330,700",103.2,1.1,0.0,0.0,0.0,0.0
2005-04,Vancouver East,Detached,,,,,,
2005-04,Vancouver East,"$461,500",102.9,1.0,0.0,0.0,0.0,0.0
2005-04,Vancouver East,Townhouse,,,,,,
2005-04,Vancouver East,"$313,800",103.5,1.2,0.0,0.0,0.0,0.0
2005-04,Vancouver East,Apartment,,,,,,
2005-04,Vancouver East,"$179,200",104.0,1.3,0.0,0.0,0.0,0.0
2005-05,Vancouver East,Residential - All Types,,,,,,
2005-05,Vancouver East,"$334,200",104.3,1.1,0.0,0.0,0.0,0.0
2005-05,Vancouver East,Detached,,,,,,
2005-05,Vancouver East,"$466,000",103.9,1.0,0.0,0.0,0.0,0.0
2005-05,Vancouver East,Townhouse,,,,,,
2005-05,Vancouver East,"$317,500",104.7,1.2,0.0,0.0,0.0,0.0
2005-05,Vancouver East,Apartment,,,,,,
2005-05,Vancouver East,"$181,600",105.4,1.3,0.0,0.0,0.0,0.0
2005-06,Vancouver East,Residential - All Types,,,,,,
2005-06,Vancouver East,"$337,800",105.4,1.1,0.0,0.0,0.0,0.0
2005-06,Vancouver East,Detached,,,,,,
2005-06,Vancouver East,"$470,500",105.0,1.1,0.0,0.0,0.0,0.0
2005-06,Vancouver East,Townhouse,,,,,,
2005-06,Vancouver East,"$321,200",105.9,1.1,0.0,0.0,0.0,0.0
2005-06,Vancouver East,Apartment,,,,,,
2005-06,Vancouver East,"$184,000",106.8,1.3,0.0,0.0,0.0,0.0
2005-07,Vancouver East,Residential - All Types,,,,,,
2005-07,Vancouver East,"$342,900",107.0,1.5,7.0,0.0,0.0,0.0
2005-07,Vancouver East,Detached,,,,,,
2005-07,Vancouver East,"$477,200",106.4,1.3,6.4,0.0,0.0,0.0
2005-07,Vancouver East,Townhouse,,,,,,
2005-07,Vancouver East,"$324,400",107.0,1.0,7.0,0.0,0.0,0.0
2005-07,Vancouver East,Apartment,,,,,,
2005-07,Vancouver East,"$187,800",109.0,2.1,9.0,0.0,0.0,0.0
2005-08,Vancouver East,Residential - All Types,,,,,,
2005-08,Vancouver East,"$348,200",108.6,1.5,7.4,0.0,0.0,0.0
2005-08,Vancouver East,Detached,,,,,,
2005-08,Vancouver East,"$483,900",107.9,1.4,6.8,0.0,0.0,0.0
2005-08,Vancouver East,Townhouse,,,,,,
2005-08,Vancouver East,"$327,700",108.0,0.9,6.8,0.0,0.0,0.0
2005-08,Vancouver East,Apartment,,,,,,
2005-08,Vancouver East,"$191,700",111.3,2.1,9.9,0.0,0.0,0.0
2005-09,Vancouver East,Residential - All Types,,,,,,
2005-09,Vancouver East,"$353,500",110.3,1.6,8.0,0.0,0.0,0.0
2005-09,Vancouver East,Detached,,,,,,
2005-09,Vancouver East,"$490,800",109.5,1.5,7.5,0.0,0.0,0.0
2005-09,Vancouver East,Townhouse,,,,,,
2005-09,Vancouver East,"$331,100",109.2,1.1,6.7,0.0,0.0,0.0
2005-09,Vancouver East,Apartment,,,,,,
2005-09,Vancouver East,"$195,700",113.6,2.1,10.6,0.0,0.0,0.0
2005-10,Vancouver East,Residential - All Types,,,,,,
2005-10,Vancouver East,"$355,600",111.0,0.6,7.6,0.0,0.0,0.0
2005-10,Vancouver East,Detached,,,,,,
2005-10,Vancouver East,"$492,900",109.9,0.4,6.8,0.0,0.0,0.0
2005-10,Vancouver East,Townhouse,,,,,,
2005-10,Vancouver East,"$334,100",110.2,0.9,6.5,0.0,0.0,0.0
2005-10,Vancouver East,Apartment,,,,,,
2005-10,Vancouver East,"$197,900",114.9,1.1,10.5,0.0,0.0,0.0
2005-11,Vancouver East,Residential - All Types,,,,,,
2005-11,Vancouver East,"$357,800",111.6,0.5,7.0,0.0,0.0,0.0
2005-11,Vancouver East,Detached,,,,,,
2005-11,Vancouver East,"$495,000",110.4,0.5,6.3,0.0,0.0,0.0
2005-11,Vancouver East,Townhouse,,,,,,
2005-11,Vancouver East,"$337,100",111.1,0.8,6.1,0.0,0.0,0.0
2005-11,Vancouver East,Apartment,,,,,,
2005-11,Vancouver East,"$200,200",116.2,1.1,10.2,0.0,0.0,0.0
2005-12,Vancouver East,Residential - All Types,,,,,,
2005-12,Vancouver East,"$360,100",112.4,0.7,6.6,0.0,0.0,0.0
2005-12,Vancouver East,Detached,,,,,,
2005-12,Vancouver East,"$497,100",110.9,0.5,5.6,0.0,0.0,0.0
2005-12,Vancouver East,Townhouse,,,,,,
2005-12,Vancouver East,"$340,100",112.1,0.9,5.9,0.0,0.0,0.0
2005-12,Vancouver East,Apartment,,,,,,
2005-12,Vancouver East,"$202,400",117.5,1.1,10.0,0.0,0.0,0.0
2006-01,Vancouver East,Residential - All Types,,,,,,
2006-01,Vancouver East,"$368,600",115.0,2.3,7.5,15.0,0.0,0.0
2006-01,Vancouver East,Detached,,,,,,
2006-01,Vancouver East,"$509,800",113.7,2.5,6.9,13.7,0.0,0.0
2006-01,Vancouver East,Townhouse,,,,,,
2006-01,Vancouver East,"$343,600",113.3,1.1,5.9,13.3,0.0,0.0
2006-01,Vancouver East,Apartment,,,,,,
2006-01,Vancouver East,"$207,000",120.1,2.2,10.2,20.1,0.0,0.0
2006-02,Vancouver East,Residential - All Types,,,,,,
2006-02,Vancouver East,"$377,300",117.7,2.3,8.4,16.4,0.0,0.0
2006-02,Vancouver East,Detached,,,,,,
2006-02,Vancouver East,"$522,800",116.6,2.6,8.1,15.4,0.0,0.0
2006-02,Vancouver East,Townhouse,,,,,,
2006-02,Vancouver East,"$347,000",114.4,1.0,5.9,13.2,0.0,0.0
2006-02,Vancouver East,Apartment,,,,,,
2006-02,Vancouver East,"$211,700",122.9,2.3,10.4,21.3,0.0,0.0
2006-03,Vancouver East,Residential - All Types,,,,,,
2006-03,Vancouver East,"$386,200",120.5,2.4,9.2,18.0,0.0,0.0
2006-03,Vancouver East,Detached,,,,,,
2006-03,Vancouver East,"$536,200",119.6,2.6,9.2,17.4,0.0,0.0
2006-03,Vancouver East,Townhouse,,,,,,
2006-03,Vancouver East,"$350,600",115.6,1.0,5.9,13.0,0.0,0.0
2006-03,Vancouver East,Apartment,,,,,,
2006-03,Vancouver East,"$216,500",125.7,2.3,10.7,22.4,0.0,0.0
2006-04,Vancouver East,Residential - All Types,,,,,,
2006-04,Vancouver East,"$395,500",123.4,2.4,11.2,19.6,0.0,0.0
2006-04,Vancouver East,Detached,,,,,,
2006-04,Vancouver East,"$548,300",122.3,2.3,11.3,18.9,0.0,0.0
2006-04,Vancouver East,Townhouse,,,,,,
2006-04,Vancouver East,"$358,400",118.2,2.2,7.3,14.2,0.0,0.0
2006-04,Vancouver East,Apartment,,,,,,
2006-04,Vancouver East,"$222,700",129.3,2.9,12.5,24.3,0.0,0.0
2006-05,Vancouver East,Residential - All Types,,,,,,
2006-05,Vancouver East,"$405,000",126.4,2.4,13.3,21.2,0.0,0.0
2006-05,Vancouver East,Detached,,,,,,
2006-05,Vancouver East,"$560,700",125.1,2.3,13.3,20.4,0.0,0.0
2006-05,Vancouver East,Townhouse,,,,,,
2006-05,Vancouver East,"$366,500",120.8,2.2,8.7,15.4,0.0,0.0
2006-05,Vancouver East,Apartment,,,,,,
2006-05,Vancouver East,"$229,100",133.0,2.9,14.5,26.2,0.0,0.0
